pass	compression	q	error	size
11	100	0.010	0.000070817	10516
11	100	0.100	-0.000142737	10516
11	100	0.500	-0.000162531	10516
11	200	0.001	0.000003916	19528
11	200	0.010	0.000011457	19528
11	200	0.100	0.000374547	19528
11	200	0.500	-0.000360823	19528
11	500	0.001	0.000003916	42640
11	500	0.010	0.000000392	42640
11	500	0.100	-0.000020363	42640
11	500	0.500	-0.000014269	42640
11	1000	0.001	0.000003916	92224
11	1000	0.010	-0.000000529	92224
11	1000	0.100	0.000039155	92224
11	1000	0.500	-0.000018828	92224
12	2	0.001	0.000251103	340
12	2	0.010	-0.000793850	340
12	2	0.100	0.008941135	340
12	2	0.500	0.080725052	340
12	5	0.001	0.000177733	736
12	5	0.010	-0.000419534	736
12	5	0.100	-0.002995551	736
12	5	0.500	-0.000900262	736
12	10	0.001	-0.000034732	1204
12	10	0.010	0.000430064	1204
12	10	0.100	-0.002019190	1204
12	10	0.500	-0.000166850	1204
12	20	0.001	-0.000009821	2176
12	20	0.010	0.000083062	2176
12	20	0.100	-0.000044339	2176
12	20	0.500	0.012957868	2176
12	50	0.001	0.000006658	5464
12	50	0.010	0.000248102	5464
12	50	0.100	0.000234093	5464
12	50	0.500	-0.000742349	5464
12	100	0.001	-0.000011350	10852
12	100	0.010	-0.000008393	10852
12	100	0.100	-0.000084833	10852
12	100	0.500	0.000200825	10852
12	200	0.001	-0.000012482	19480
12	200	0.010	0.000026606	19480
12	200	0.100	0.000363103	19480
12	200	0.500	0.001496304	19480
12	500	0.001	-0.000012482	43144
12	500	0.010	-0.000032089	43144
12	500	0.100	-0.000117222	43144
12	500	0.500	-0.000014482	43144
12	1000	0.001	-0.000012482	92116
12	1000	0.010	0.000005828	92116
12	1000	0.100	0.000017514	92116
12	1000	0.500	0.000006779	92116
13	2	0.001	0.000007231	388
13	2	0.010	-0.000936319	388
13	2	0.100	0.064957665	388
13	2	0.500	0.054123514	388
13	5	0.001	0.000202889	700
13	5	0.010	-0.000144953	700
13	5	0.100	-0.000922168	700
13	5	0.500	0.024294587	700
13	10	0.001	0.000116666	1300
13	10	0.010	-0.000800580	1300
13	10	0.100	-0.001963931	1300
13	10	0.500	-0.001825399	1300
13	20	0.001	-0.000000209	2224
13	20	0.010	-0.000034070	2224
13	20	0.100	-0.000687142	2224
13	20	0.500	0.001921708	2224
13	50	0.001	0.000008055	5524
13	50	0.010	0.000002269	5524
13	50	0.100	0.000296381	5524
13	50	0.500	0.002428772	5524
13	100	0.001	0.000000433	10468
13	100	0.010	-0.000030494	10468
13	100	0.100	0.000025535	10468
13	100	0.500	0.000055854	10468
13	200	0.001	-0.000003985	19648
13	200	0.010	0.000017965	19648
13	200	0.100	-0.000004528	19648
13	200	0.500	0.000676966	19648
13	500	0.001	-0.000003985	43456
13	500	0.010	-0.000008754	43456
13	500	0.100	-0.000066112	43456
13	500	0.500	0.000065643	43456
13	1000	0.001	-0.000003985	92056
13	1000	0.010	0.000000327	92056
13	1000	0.100	0.000053365	92056
13	1000	0.500	0.000015011	92056
14	2	0.001	0.000458852	328
14	2	0.010	-0.000298968	328
14	2	0.100	-0.003375345	328
14	2	0.500	0.114847969	328
14	5	0.001	0.000237782	724
14	5	0.010	0.000073673	724
14	5	0.100	0.000447408	724
14	5	0.500	0.002376065	724
14	10	0.001	0.000001870	1312
14	10	0.010	-0.000054062	1312
14	10	0.100	-0.002441696	1312
14	10	0.500	0.009556790	1312
14	20	0.001	-0.000012682	2272
14	20	0.010	0.000007132	2272
14	20	0.100	0.000140681	2272
14	20	0.500	0.003006292	2272
14	50	0.001	-0.000001176	5344
14	50	0.010	0.000092868	5344
14	50	0.100	0.000419648	5344
14	50	0.500	0.000054222	5344
14	100	0.001	-0.000008134	10456
14	100	0.010	0.000029217	10456
14	100	0.100	-0.000080340	10456
14	100	0.500	-0.002401578	10456
14	200	0.001	0.000000617	19168
14	200	0.010	-0.000025368	19168
14	200	0.100	-0.000762803	19168
14	200	0.500	-0.000069755	19168
14	500	0.001	0.000000617	43276
14	500	0.010	-0.000011167	43276
14	500	0.100	0.000005783	43276
14	500	0.500	-0.000007495	43276
14	1000	0.001	0.000000617	92332
14	1000	0.010	-0.000025458	92332
14	1000	0.100	-0.000000702	92332
14	1000	0.500	0.000025149	92332
15	2	0.001	0.000025583	340
15	2	0.010	0.005578347	340
15	2	0.100	0.004687699	340
15	2	0.500	-0.009833962	340
15	5	0.001	0.000000323	676
15	5	0.010	0.001007752	676
15	5	0.100	-0.009356748	676
15	5	0.500	0.007366823	676
15	10	0.001	0.000108652	1216
15	10	0.010	0.000051752	1216
15	10	0.100	-0.001873906	1216
15	10	0.500	-0.016035599	1216
15	20	0.001	0.000033351	2272
15	20	0.010	0.000006941	2272
15	20	0.100	0.005312763	2272
15	20	0.500	-0.000530671	2272
15	50	0.001	-0.000008582	5680
15	50	0.010	-0.000175920	5680
15	50	0.100	-0.000452809	5680
15	50	0.500	0.001654508	5680
15	100	0.001	-0.000012314	10108
15	100	0.010	0.000053408	10108
15	100	0.100	-0.000035053	10108
15	100	0.500	0.001485837	10108
15	200	0.001	-0.000010585	18976
15	200	0.010	-0.000010682	18976
15	200	0.100	-0.000034311	18976
15	200	0.500	-0.001508511	18976
15	500	0.001	-0.000010585	42640
15	500	0.010	0.000002140	42640
15	500	0.100	0.000050859	42640
15	500	0.500	0.000208855	42640
15	1000	0.001	-0.000010585	92296
15	1000	0.010	-0.000003799	92296
15	1000	0.100	-0.000021266	92296
15	1000	0.500	-0.000014681	92296
16	2	0.001	0.000240562	304
16	2	0.010	0.003462978	304
16	2	0.100	0.002935387	304
