type	parts	q	e0	e1	e2	e2.rel
quantile	5	0.001000	-0.000089	0.000003	-0.000009	0.009337
quantile	5	0.010000	-0.000162	0.000023	-0.000005	0.000465
quantile	5	0.100000	0.001331	0.000550	0.000864	0.008641
quantile	5	0.200000	0.000535	-0.000676	0.000242	0.001209
quantile	5	0.300000	-0.000508	-0.002284	0.007054	0.023514
quantile	5	0.500000	-0.001640	0.000263	0.000279	0.000559
cdf	5	0.001000	0.000050	0.000005	-0.000011	0.011495
cdf	5	0.010000	0.000120	0.000000	-0.000050	0.004980
cdf	5	0.100000	-0.001140	-0.000230	-0.000776	0.007763
cdf	5	0.200000	-0.000570	-0.000405	0.001275	0.006374
cdf	5	0.300000	0.000520	0.000053	-0.000773	0.002575
cdf	5	0.500000	0.001700	0.001078	0.002233	0.004466
quantile	10	0.001000	-0.000072	-0.000005	-0.000014	0.013963
quantile	10	0.010000	-0.000036	0.000006	0.000141	0.014096
quantile	10	0.100000	-0.000203	-0.000802	-0.000332	0.003320
quantile	10	0.200000	-0.000793	0.002875	0.001398	0.006991
quantile	10	0.300000	-0.000817	-0.000260	-0.002195	0.007317
quantile	10	0.500000	-0.002297	0.005586	0.000081	0.000162
cdf	10	0.001000	0.000070	0.000010	-0.000001	0.000691
cdf	10	0.010000	0.000030	0.000000	-0.000013	0.001340
cdf	10	0.100000	0.000320	0.000204	-0.000146	0.001463
cdf	10	0.200000	0.000680	-0.000830	-0.000198	0.000989
cdf	10	0.300000	0.000840	-0.000740	-0.000133	0.000442
cdf	10	0.500000	0.002170	-0.001068	-0.000700	0.001400
quantile	20	0.001000	0.000088	-0.000022	-0.000033	0.032589
quantile	20	0.010000	0.000417	0.000147	0.000032	0.003157
quantile	20	0.100000	0.000026	0.001467	0.000071	0.000710
quantile	20	0.200000	0.000603	0.000172	-0.001642	0.008212
quantile	20	0.300000	-0.000835	-0.002465	0.000215	0.000716
quantile	20	0.500000	0.000002	0.000112	-0.000076	0.000152
cdf	20	0.001000	-0.000050	-0.000006	-0.000010	0.009835
cdf	20	0.010000	-0.000430	0.000001	0.000056	0.005619
cdf	20	0.100000	0.000000	0.000032	0.000203	0.002027
cdf	20	0.200000	-0.000720	0.000211	0.000361	0.001804
cdf	20	0.300000	0.000860	-0.000136	-0.000071	0.000236
cdf	20	0.500000	0.000000	0.000386	-0.000451	0.000902
quantile	50	0.001000	0.000011	-0.000004	0.000006	0.005935
quantile	50	0.010000	0.000057	0.000011	-0.000001	0.000078
quantile	50	0.100000	-0.001254	0.001269	-0.000623	0.006226
quantile	50	0.200000	-0.001414	0.002316	-0.002264	0.011318
quantile	50	0.300000	-0.002305	-0.001422	0.001792	0.005975
quantile	50	0.500000	-0.002392	-0.001405	-0.000022	0.000043
cdf	50	0.001000	-0.000020	0.000001	0.000011	0.010739
cdf	50	0.010000	-0.000060	-0.000056	0.000008	0.000755
cdf	50	0.100000	0.001310	-0.000519	0.000070	0.000705
cdf	50	0.200000	0.001430	0.000328	0.000121	0.000607
cdf	50	0.300000	0.002270	-0.000316	-0.000717	0.002388
cdf	50	0.500000	0.002500	0.000314	-0.000090	0.000180
quantile	100	0.001000	0.000050	0.000003	-0.000014	0.014193
quantile	100	0.010000	-0.000070	0.000076	-0.000034	0.003390
quantile	100	0.100000	-0.000957	0.000032	-0.000198	0.001981
quantile	100	0.200000	-0.000895	-0.002081	0.000422	0.002109
quantile	100	0.300000	-0.002518	-0.000047	-0.001362	0.004541
quantile	100	0.500000	-0.003039	-0.001518	-0.000508	0.001016
cdf	100	0.001000	-0.000040	0.000009	0.000008	0.008116
cdf	100	0.010000	0.000110	-0.000067	-0.000014	0.001373
cdf	100	0.100000	0.000900	-0.000454	-0.000104	0.001037
cdf	100	0.200000	0.001070	-0.000278	-0.000384	0.001922
cdf	100	0.300000	0.002410	0.001219	-0.000507	0.001690
cdf	100	0.500000	0.002980	0.000026	0.000421	0.000841
quantile	2	0.001000	-0.000193	-0.000014	-0.000011	0.010861
quantile	2	0.010000	-0.000490	0.000046	-0.000076	0.007622
quantile	2	0.100000	-0.000842	0.000034	-0.000030	0.000303
quantile	2	0.200000	-0.000044	-0.000096	0.000499	0.002497
quantile	2	0.300000	-0.001519	-0.003193	0.000442	0.001473
quantile	2	0.500000	-0.003019	-0.002030	-0.001906	0.003812
cdf	2	0.001000	0.000210	-0.000011	-0.000018	0.018442
cdf	2	0.010000	0.000530	-0.000002	0.000091	0.009126
cdf	2	0.100000	0.000840	0.000019	0.000029	0.000287
cdf	2	0.200000	0.000060	-0.000028	0.000979	0.004894
cdf	2	0.300000	0.001740	0.000119	0.000352	0.001175
cdf	2	0.500000	0.003240	-0.000128	0.000875	0.001750
quantile	5	0.001000	-0.000111	-0.000027	-0.000009	0.009396
quantile	5	0.010000	0.000427	-0.000046	-0.000013	0.001299
quantile	5	0.100000	0.000016	-0.000188	0.000180	0.001796
quantile	5	0.200000	0.000263	0.002475	0.002297	0.011485
quantile	5	0.300000	0.000400	0.000265	-0.000727	0.002424
quantile	5	0.500000	-0.000767	-0.005259	-0.000050	0.000099
cdf	5	0.001000	0.000130	0.000000	0.000002	0.001924
cdf	5	0.010000	-0.000400	0.000052	-0.000003	0.000300
cdf	5	0.100000	-0.000030	0.000565	0.000131	0.001313
cdf	5	0.200000	-0.000300	-0.000653	0.000129	0.000646
cdf	5	0.300000	-0.000530	0.000380	0.000508	0.001693
cdf	5	0.500000	0.000790	0.000244	0.000389	0.000778
quantile	10	0.001000	0.000100	-0.000002	-0.000000	0.000481
quantile	10	0.010000	0.000229	0.000008	-0.000154	0.015370
quantile	10	0.100000	-0.000347	-0.000096	0.001915	0.019151
quantile	10	0.200000	0.000145	-0.000895	0.000754	0.003770
quantile	10	0.300000	0.000396	0.000403	0.000861	0.002868
quantile	10	0.500000	0.001074	-0.000207	0.003222	0.006444
cdf	10	0.001000	-0.000130	0.000007	0.000008	0.008428
cdf	10	0.010000	-0.000300	0.000018	0.000047	0.004658
cdf	10	0.100000	0.000290	0.000274	-0.000089	0.000889
cdf	10	0.200000	-0.000180	0.001073	-0.001328	0.006640
cdf	10	0.300000	-0.000410	0.000752	0.000115	0.000382
cdf	10	0.500000	-0.000990	0.000483	0.000251	0.000501
quantile	20	0.001000	-0.000070	-0.000008	-0.000027	0.026757
quantile	20	0.010000	-0.000278	-0.000016	-0.000173	0.017289
quantile	20	0.100000	-0.000521	0.000684	-0.000000	0.000004
quantile	20	0.200000	-0.000872	-0.001042	-0.001453	0.007266
quantile	20	0.300000	0.000826	-0.000259	-0.001152	0.003841
quantile	20	0.500000	0.001846	-0.000117	0.000577	0.001154
cdf	20	0.001000	0.000080	-0.000006	-0.000008	0.007873
cdf	20	0.010000	0.000390	-0.000059	-0.000054	0.005405
cdf	20	0.100000	0.000620	-0.000040	-0.000153	0.001529
cdf	20	0.200000	0.000860	-0.000284	-0.000302	0.001512
cdf	20	0.300000	-0.000690	-0.000024	-0.000408	0.001360
cdf	20	0.500000	-0.001990	0.000154	0.000019	0.000037
quantile	50	0.001000	0.000153	0.000001	0.000011	0.010577
quantile	50	0.010000	-0.000133	-0.000131	0.000002	0.000225
quantile	50	0.100000	0.002133	0.001399	-0.000947	0.009475
quantile	50	0.200000	0.002071	-0.000057	0.000448	0.002238
quantile	50	0.300000	0.001767	-0.001778	-0.000098	0.000327
quantile	50	0.500000	0.000070	0.004202	-0.002794	0.005588
cdf	50	0.001000	-0.000130	-0.000002	0.000012	0.011896
cdf	50	0.010000	0.000130	-0.000033	-0.000009	0.000947
cdf	50	0.100000	-0.001980	-0.000136	0.000006	0.000055
cdf	50	0.200000	-0.001850	-0.000485	0.000431	0.002154
cdf	50	0.300000	-0.001690	0.001130	0.000030	0.000099
cdf	50	0.500000	-0.000050	-0.000287	0.000085	0.000170
quantile	100	0.001000	-0.000053	-0.000014	-0.000006	0.005990
quantile	100	0.010000	-0.000216	-0.000108	0.000298	0.029824
quantile	100	0.100000	-0.000097	-0.000351	-0.000016	0.000156
quantile	100	0.200000	-0.000635	0.000863	0.000062	0.000311
quantile	100	0.300000	-0.001204	0.001010	0.000061	0.000202
quantile	100	0.500000	-0.000718	0.000867	0.002850	0.005700
cdf	100	0.001000	0.000080	-0.000011	-0.000008	0.008188
cdf	100	0.010000	0.000260	-0.000015	-0.000042	0.004210
cdf	100	0.100000	0.000070	0.000766	-0.000031	0.000312
cdf	100	0.200000	0.000710	-0.000314	-0.000377	0.001883
cdf	100	0.300000	0.001220	-0.000110	-0.000602	0.002007
cdf	100	0.500000	0.000700	-0.001764	0.000395	0.000789
quantile	2	0.001000	0.000043	-0.000018	-0.000024	0.023757
quantile	2	0.010000	0.000637	-0.000198	0.000139	0.013860
quantile	2	0.100000	-0.000695	0.000608	0.000150	0.001497
quantile	2	0.200000	-0.000594	0.000556	-0.002464	0.012319
quantile	2	0.300000	0.000750	0.000067	0.003013	0.010042
quantile	2	0.500000	0.000446	-0.004033	0.001745	0.003490
cdf	2	0.001000	-0.000050	0.000017	0.000023	0.023048
cdf	2	0.010000	-0.000480	0.000018	-0.000060	0.006044
cdf	2	0.100000	0.000630	-0.000002	0.000037	0.000366
cdf	2	0.200000	0.000570	0.000490	0.000210	0.001048
cdf	2	0.300000	-0.000760	-0.000052	-0.000623	0.002076
cdf	2	0.500000	-0.000440	0.000136	-0.000308	0.000616
quantile	5	0.001000	0.000086	-0.000009	-0.000018	0.018024
