i	delta
1029	-0.178766
1030	-0.011471
1031	0.127708
1032	0.227727
1033	-0.128014
1034	-0.168662
1035	-0.206928
1036	-0.147244
1037	-0.029712
1038	-0.143992
1039	0.021241
1040	-0.086425
1041	-0.203106
1042	-0.220742
1043	0.232285
1044	0.116601
1045	0.103150
1046	0.202027
1047	0.163480
1048	0.016513
1049	-0.036440
1050	0.031950
1051	-0.142435
1052	-0.083949
1053	0.148098
1054	-0.086682
1055	0.108641
1056	0.035804
1057	0.263569
1058	-0.111516
1059	0.136557
1060	-0.131900
1061	0.059346
1062	-0.001476
1063	-0.049766
1064	0.122426
1065	-0.145713
1066	-0.071330
1067	0.102114
1068	0.186857
1069	0.147620
1070	-0.105158
1071	-0.070648
1072	0.134712
1073	-0.310455
1074	-0.049763
1075	-0.201937
1076	0.045645
1077	0.175244
1078	0.135209
1079	0.179006
1080	-0.050411
1081	0.235084
1082	-0.245475
1083	0.025595
1084	-0.144632
1085	-0.160699
1086	0.214141
1087	-0.004033
1088	0.068478
1089	-0.160666
1090	-0.220975
1091	0.099952
1092	0.061387
1093	-0.048560
1094	0.193116
1095	0.207644
1096	-0.183208
1097	0.151658
1098	-0.202507
1099	0.000254
1100	0.020266
1101	0.059312
1102	0.181772
1103	0.046683
1104	-0.193815
1105	0.055034
1106	-0.137561
1107	0.170147
1108	-0.213860
1109	0.073334
1110	0.190120
1111	0.097570
1112	0.098969
1113	0.060822
1114	-0.252498
1115	0.142941
1116	-0.006821
1117	0.017653
1118	-0.250287
1119	0.105118
1120	-0.079221
1121	0.108576
1122	-0.159130
1123	-0.218701
1124	0.043683
1125	0.026544
1126	-0.076778
1127	0.111901
1128	0.121608
1129	-0.192683
1130	0.146305
1131	-0.170087
1132	0.058219
1133	-0.137887
1134	-0.068711
1135	0.205493
1136	0.215507
1137	0.251426
1138	0.136686
1139	0.194737
1140	0.098473
1141	0.260894
1142	-0.063218
1143	0.018240
1144	-0.116407
1145	0.203510
1146	-0.053479
1147	-0.160041
1148	-0.076679
1149	-0.178107
1150	-0.030394
1151	0.145467
1152	-0.171846
1153	-0.029758
1154	-0.114353
1155	-0.179179
1156	-0.039675
1157	0.062523
1158	-0.079428
1159	-0.069606
1160	0.127570
1161	0.156886
1162	0.214592
1163	0.250809
1164	0.005758
1165	-0.011926
1166	-0.141628
1167	-0.013678
1168	-0.142204
1169	0.156969
1170	-0.043312
1171	0.031707
1172	-0.225544
1173	-0.189829
1174	0.242051
1175	-0.032299
1176	-0.049517
1177	-0.202479
1178	-0.120916
1179	0.180218
1180	-0.006516
1181	-0.097436
1182	0.144500
1183	-0.095158
1184	-0.238382
1185	-0.062129
1186	0.234208
1187	-0.260342
1188	-0.085076
1189	-0.005830
1190	-0.062654
1191	0.159049
1192	-0.035946
1193	-0.024485
1194	0.088322
1195	-0.129310
1196	0.057851
1197	-0.176315
1198	-0.089332
1199	0.019445
1200	-0.016661
1201	-0.046838
