k	samples	compression	size1	size2
17	10000	10	1161	2328
17	10000	20	2301	4692
17	10000	50	5184	10740
17	10000	100	9729	20424
17	10000	200	17571	37776
17	10000	500	39979	87372
17	10000	1000	75028	165288
18	10	2	164	336
18	10	5	401	888
18	10	10	604	1356
18	10	20	1061	2436
18	10	50	2093	4992
18	10	100	3971	9504
18	10	200	6721	16104
18	10	500	13796	33084
18	10	1000	22481	53928
18	100	2	231	468
18	100	5	413	888
18	100	10	768	1644
18	100	20	1471	3252
18	100	50	2950	6576
18	100	100	5681	12888
18	100	200	10122	23568
18	100	500	21306	51072
18	100	1000	38416	92172
18	1000	2	301	600
18	1000	5	554	1140
18	1000	10	964	2004
18	1000	20	1826	3912
18	1000	50	3986	8724
18	1000	100	7619	16788
18	1000	200	14045	31140
18	1000	500	30736	69060
18	1000	1000	55763	126948
18	10000	2	328	612
18	10000	5	756	1488
18	10000	10	1146	2328
18	10000	20	2258	4620
18	10000	50	5066	10464
18	10000	100	9564	20220
18	10000	200	17804	38208
18	10000	500	40503	88608
18	10000	1000	74153	163368
19	10	2	195	408
19	10	5	383	840
19	10	10	637	1440
19	10	20	1034	2388
19	10	50	2246	5352
19	10	100	3826	9156
19	10	200	6706	16068
19	10	500	13831	33168
19	10	1000	22706	54468
19	100	2	226	468
19	100	5	448	960
19	100	10	867	1896
19	100	20	1437	3156
19	100	50	3160	7044
19	100	100	5714	13020
19	100	200	10260	23844
19	100	500	21926	52560
19	100	1000	38511	92400
19	1000	2	281	552
19	1000	5	602	1236
19	1000	10	983	2040
19	1000	20	1863	4008
19	1000	50	3993	8748
19	1000	100	7460	16416
19	1000	200	13991	30960
19	1000	500	31205	70164
19	1000	1000	56099	127716
19	10000	2	330	624
19	10000	5	759	1512
19	10000	10	1186	2388
19	10000	20	2243	4608
19	10000	50	5362	11112
19	10000	100	9750	20532
19	10000	200	17512	37584
19	10000	500	39832	86952
19	10000	1000	74286	163572
20	10	2	160	324
20	10	5	419	924
20	10	10	592	1332
20	10	20	963	2208
20	10	50	2169	5172
20	10	100	3931	9408
20	10	200	6906	16548
20	10	500	13881	33288
20	10	1000	22471	53904
20	100	2	177	360
20	100	5	512	1092
20	100	10	837	1800
20	100	20	1356	3012
20	100	50	3157	7092
20	100	100	5718	12972
20	100	200	10028	23328
20	100	500	21890	52488
20	100	1000	38301	91896
20	1000	2	318	612
20	1000	5	570	1164
20	1000	10	1010	2100
20	1000	20	1710	3660
20	1000	50	4155	9060
20	1000	100	7448	16380
20	1000	200	13648	30216
20	1000	500	31263	70272
20	1000	1000	56111	127752
20	10000	2	348	672
20	10000	5	740	1476
20	10000	10	1277	2556
20	10000	20	2255	4644
20	10000	50	5454	11340
20	10000	100	9544	20136
20	10000	200	17899	38460
20	10000	500	40660	89016
20	10000	1000	74638	164292
21	10	2	223	468
21	10	5	378	828
21	10	10	569	1260
21	10	20	1092	2532
21	10	50	2163	5160
21	10	100	3776	9036
21	10	200	6811	16320
21	10	500	13836	33180
21	10	1000	22616	54252
21	100	2	235	480
21	100	5	471	1008
21	100	10	806	1752
21	100	20	1378	3036
21	100	50	3365	7524
21	100	100	5648	12804
21	100	200	10184	23676
21	100	500	21458	51408
21	100	1000	38111	91440
21	1000	2	269	528
21	1000	5	548	1116
21	1000	10	1063	2232
21	1000	20	1808	3864
21	1000	50	4035	8808
21	1000	100	7427	16284
21	1000	200	13441	29760
21	1000	500	31182	70128
21	1000	1000	56585	129024
21	10000	2	366	708
21	10000	5	744	1512
21	10000	10	1149	2328
21	10000	20	2225	4548
21	10000	50	5102	10536
21	10000	100	9838	20760
21	10000	200	17606	37836
21	10000	500	39938	87372
21	10000	1000	75149	165372
22	10	2	173	360
22	10	5	367	804
22	10	10	629	1404
22	10	20	1067	2460
22	10	50	2102	5016
22	10	100	3791	9072
22	10	200	6751	16176
22	10	500	13731	32928
22	10	1000	22551	54096
22	100	2	248	528
22	100	5	495	1056
22	100	10	825	1788
22	100	20	1429	3180
22	100	50	3201	7176
22	100	100	5486	12492
22	100	200	10026	23292
22	100	500	21476	51468
22	100	1000	38461	92280
22	1000	2	268	528
22	1000	5	644	1332
22	1000	10	1067	2220
22	1000	20	1877	4008
22	1000	50	4139	9048
22	1000	100	7425	16356
22	1000	200	13751	30504
22	1000	500	31544	70824
22	1000	1000	56598	128880
22	10000	2	409	792
22	10000	5	754	1488
22	10000	10	1234	2472
22	10000	20	2250	4608
22	10000	50	5204	10740
22	10000	100	9576	20124
22	10000	200	17857	38400
22	10000	500	39544	86580
22	10000	1000	74873	164856
23	10	2	203	432
23	10	5	361	792
23	10	10	612	1356
23	10	20	1027	2376
23	10	50	2162	5160
23	10	100	3901	9336
23	10	200	6816	16332
23	10	500	13771	33024
23	10	1000	22801	54696
23	100	2	224	456
23	100	5	432	924
23	100	10	758	1656
23	100	20	1444	3180
23	100	50	3085	6912
23	100	100	5755	13092
23	100	200	10244	23868
23	100	500	21353	51168
23	100	1000	38851	93216
23	1000	2	285	552
23	1000	5	611	1248
23	1000	10	962	2004
23	1000	20	1921	4116
23	1000	50	4176	9096
23	1000	100	7599	16716
23	1000	200	13736	30408
23	1000	500	31348	70380
23	1000	1000	56827	129384
23	10000	2	330	624
23	10000	5	803	1584
23	10000	10	1307	2640
23	10000	20	2293	4716
23	10000	50	5222	10848
23	10000	100	9619	20232
23	10000	200	17757	38112
23	10000	500	39875	87288
23	10000	1000	74873	164808
24	10	2	177	360
24	10	5	370	804
24	10	10	601	1344
24	10	20	1076	2484
24	10	50	2184	5208
24	10	100	3851	9216
24	10	200	6771	16224
24	10	500	13651	32736
24	10	1000	22536	54060
24	100	2	250	516
24	100	5	477	1032
24	100	10	802	1740
24	100	20	1385	3048
24	100	50	3109	6948
24	100	100	5469	12432
24	100	200	9979	23184
24	100	500	21888	52464
24	100	1000	38541	92472
24	1000	2	287	552
24	1000	5	635	1296
24	1000	10	1010	2100
24	1000	20	1839	3924
24	1000	50	4099	8916
24	1000	100	7787	17136
24	1000	200	13890	30876
24	1000	500	30981	69660
24	1000	1000	56396	128460
24	10000	2	340	648
24	10000	5	759	1512
24	10000	10	1242	2472
24	10000	20	2288	4668
24	10000	50	5266	10848
24	10000	100	9463	19968
24	10000	200	17367	37344
24	10000	500	39887	87252
24	10000	1000	74561	164100
25	10	2	195	408
25	10	5	350	768
25	10	10	627	1404
25	10	20	1051	2424
25	10	50	2131	5088
25	10	100	3856	9228
25	10	200	6791	16272
25	10	500	13876	33276
25	10	1000	22631	54288
25	100	2	256	528
25	100	5	477	1032
25	100	10	872	1920
25	100	20	1386	3048
25	100	50	3027	6768
25	100	100	5613	12768
25	100	200	9884	22968
25	100	500	21446	51420
25	100	1000	38581	92568
25	1000	2	372	732
25	1000	5	539	1104
25	1000	10	1032	2148
25	1000	20	1896	4080
25	1000	50	4176	9096
25	1000	100	7175	15732
25	1000	200	13776	30468
25	1000	500	31093	69816
25	1000	1000	56267	128088
25	10000	2	307	588
25	10000	5	617	1200
25	10000	10	1216	2472
25	10000	20	2134	4392
25	10000	50	5373	11160
25	10000	100	9705	20400
25	10000	200	17825	38280
25	10000	500	40156	87816
25	10000	1000	75078	165456
26	10	2	193	408
26	10	5	297	636
26	10	10	632	1404
26	10	20	982	2268
26	10	50	2116	5052
