i	delta
1201	-0.186025
1202	0.173126
1203	0.092436
1204	-0.229198
1205	0.126318
1206	-0.225338
1207	0.165622
1208	0.057426
1209	0.154401
1210	-0.044592
1211	-0.028682
1212	0.245445
1213	-0.091651
1214	0.173361
1215	-0.097388
1216	-0.063583
1217	-0.226423
1218	0.193620
1219	-0.107620
1220	0.019519
1221	-0.087583
1222	-0.222106
1223	0.107356
1224	-0.004012
1225	-0.131801
1226	-0.216928
1227	-0.127161
1228	0.154010
1229	-0.032123
1230	0.233767
1231	-0.220858
1232	-0.254748
1233	0.152208
1234	-0.051428
1235	-0.026779
1236	0.151387
1237	0.153462
1238	-0.109076
1239	0.020523
1240	-0.167992
1241	-0.007003
1242	0.109916
1243	-0.193950
1244	0.084520
1245	-0.194117
1246	-0.137607
1247	0.029460
1248	0.059480
1249	-0.023284
1250	-0.009429
1251	0.101043
1252	-0.210393
1253	-0.224173
1254	0.242870
1255	-0.091849
1256	0.176861
1257	0.152845
1258	-0.055858
1259	0.125700
1260	-0.016341
1261	-0.075380
1262	-0.234570
1263	0.112160
1264	-0.030529
1265	0.147258
1266	0.030483
1267	-0.049616
1268	-0.067213
1269	0.123339
1270	0.150199
1271	-0.167504
1272	0.067648
1273	-0.199155
1274	-0.102273
1275	-0.093702
1276	0.213521
1277	-0.145629
1278	-0.028440
1279	0.092020
1280	-0.139886
1281	-0.025982
1282	-0.125605
1283	-0.059277
1284	-0.057914
1285	-0.004313
1286	0.083584
1287	0.138006
1288	0.191797
1289	0.096997
1290	0.009356
1291	0.186484
1292	-0.118240
1293	0.255670
1294	-0.137576
1295	-0.076773
1296	-0.115056
1297	0.289877
1298	0.127926
1299	0.164205
1300	0.177918
1301	0.127552
1302	-0.048933
1303	0.156273
1304	-0.046556
1305	0.157756
1306	0.039285
1307	-0.087238
1308	-0.200299
1309	0.092306
1310	0.236796
1311	-0.181884
1312	0.041426
1313	-0.124136
1314	-0.107358
1315	-0.071993
1316	-0.016915
1317	-0.082081
1318	-0.046101
1319	0.199495
1320	0.087926
1321	-0.220877
1322	-0.154430
1323	0.122867
1324	-0.097775
1325	0.211747
1326	-0.140457
1327	-0.154819
1328	0.035026
1329	-0.124543
1330	-0.198766
1331	-0.000540
1332	0.041057
1333	0.261098
1334	0.265440
1335	0.237702
1336	0.369438
1337	-0.138222
1338	0.199097
1339	-0.109740
1340	0.181241
1341	-0.009078
1342	0.003960
1343	-0.058659
1344	-0.047903
1345	0.206019
1346	-0.211716
1347	0.194442
1348	-0.072127
1349	-0.222253
1350	0.054137
1351	-0.125720
1352	-0.100774
1353	0.187626
1354	-0.144381
1355	0.089754
1356	0.224565
1357	0.021550
1358	-0.109056
1359	-0.148826
1360	-0.102538
1361	-0.072519
1362	-0.035859
1363	-0.034383
1364	0.082488
1365	0.071487
1366	-0.247086
1367	-0.058095
1368	-0.119497
1369	0.134285
1370	-0.083193
1371	-0.253730
1372	-0.217806
1373	0.139430
1374	-0.264676
1375	-0.178712
1376	-0.069333
1377	0.121761
1378	-0.107789
1379	0.039244
1380	-0.281852
1381	0.004156
1382	0.011053
1383	-0.000226
1384	-0.016985
1385	0.103818
1386	-0.119157
1387	0.210986
1388	-0.118317
1389	-0.181615
1390	-0.026765
1391	0.041659
1392	-0.006686
1393	0.028798
1394	-0.196540
