k	samples	compression	size1	size2
15	100	200	10106	23524
15	100	500	21519	51604
15	100	1000	38441	92236
15	1000	2	272	544
15	1000	5	615	1264
15	1000	10	1019	2140
15	1000	20	1792	3832
15	1000	50	4193	9148
15	1000	100	7745	17044
15	1000	200	13712	30472
15	1000	500	30931	69424
15	1000	1000	55974	127432
15	10000	2	348	676
15	10000	5	735	1480
15	10000	10	1170	2392
15	10000	20	2342	4804
15	10000	50	4921	10168
15	10000	100	9650	20320
15	10000	200	17484	37516
15	10000	500	40124	87856
15	10000	1000	74166	163156
16	10	2	159	328
16	10	5	351	772
16	10	10	604	1348
16	10	20	1088	2524
16	10	50	2193	5236
16	10	100	3876	9280
16	10	200	6711	16084
16	10	500	13841	33196
16	10	1000	22661	54364
16	100	2	228	472
16	100	5	500	1072
16	100	10	743	1624
16	100	20	1391	3052
16	100	50	3138	7012
16	100	100	5773	13180
16	100	200	10034	23332
16	100	500	21654	51892
16	100	1000	38401	92140
16	1000	2	294	580
16	1000	5	598	1228
16	1000	10	1111	2332
16	1000	20	1852	3952
16	1000	50	4093	8956
16	1000	100	7400	16264
16	1000	200	13735	30340
16	1000	500	31226	70228
16	1000	1000	56301	128128
16	10000	2	320	616
16	10000	5	693	1396
16	10000	10	1173	2380
16	10000	20	2405	4912
16	10000	50	5219	10780
16	10000	100	9525	20068
16	10000	200	17777	38116
16	10000	500	39811	87136
16	10000	1000	75099	165472
17	10	2	170	352
17	10	5	335	736
17	10	10	636	1432
17	10	20	1093	2536
17	10	50	2246	5368
17	10	100	3786	9064
17	10	200	6581	15772
17	10	500	13736	32944
17	10	1000	22786	54664
17	100	2	259	532
17	100	5	485	1060
17	100	10	763	1660
17	100	20	1469	3244
17	100	50	3239	7276
17	100	100	5467	12436
17	100	200	10202	23764
17	100	500	21588	51772
17	100	1000	38571	92548
17	1000	2	296	580
17	1000	5	613	1264
17	1000	10	1003	2104
17	1000	20	1797	3868
17	1000	50	4059	8836
17	1000	100	7647	16768
17	1000	200	13858	30700
17	1000	500	31139	70024
17	1000	1000	56781	129484
17	10000	2	303	580
17	10000	5	766	1504
17	10000	10	1161	2332
17	10000	20	2301	4696
17	10000	50	5184	10744
17	10000	100	9729	20428
17	10000	200	17571	37780
17	10000	500	39979	87376
17	10000	1000	75028	165292
18	10	2	164	340
18	10	5	401	892
18	10	10	604	1360
18	10	20	1061	2440
18	10	50	2093	4996
18	10	100	3971	9508
18	10	200	6721	16108
18	10	500	13796	33088
18	10	1000	22481	53932
18	100	2	231	472
18	100	5	413	892
18	100	10	768	1648
18	100	20	1471	3256
18	100	50	2950	6580
18	100	100	5681	12892
18	100	200	10122	23572
18	100	500	21306	51076
18	100	1000	38416	92176
18	1000	2	301	604
18	1000	5	554	1144
18	1000	10	964	2008
18	1000	20	1826	3916
18	1000	50	3986	8728
18	1000	100	7619	16792
18	1000	200	14045	31144
18	1000	500	30736	69064
18	1000	1000	55763	126952
18	10000	2	328	616
18	10000	5	756	1492
18	10000	10	1146	2332
18	10000	20	2258	4624
18	10000	50	5066	10468
18	10000	100	9564	20224
18	10000	200	17804	38212
18	10000	500	40503	88612
18	10000	1000	74153	163372
19	10	2	195	412
19	10	5	383	844
19	10	10	637	1444
19	10	20	1034	2392
19	10	50	2246	5356
19	10	100	3826	9160
19	10	200	6706	16072
19	10	500	13831	33172
19	10	1000	22706	54472
19	100	2	226	472
19	100	5	448	964
19	100	10	867	1900
19	100	20	1437	3160
19	100	50	3160	7048
19	100	100	5714	13024
19	100	200	10260	23848
19	100	500	21926	52564
19	100	1000	38511	92404
19	1000	2	281	556
19	1000	5	602	1240
19	1000	10	983	2044
19	1000	20	1863	4012
19	1000	50	3993	8752
19	1000	100	7460	16420
19	1000	200	13991	30964
19	1000	500	31205	70168
19	1000	1000	56099	127720
19	10000	2	330	628
19	10000	5	759	1516
19	10000	10	1186	2392
19	10000	20	2243	4612
19	10000	50	5362	11116
19	10000	100	9750	20536
19	10000	200	17512	37588
19	10000	500	39832	86956
19	10000	1000	74286	163576
20	10	2	160	328
20	10	5	419	928
20	10	10	592	1336
20	10	20	963	2212
20	10	50	2169	5176
20	10	100	3931	9412
20	10	200	6906	16552
20	10	500	13881	33292
20	10	1000	22471	53908
20	100	2	177	364
20	100	5	512	1096
20	100	10	837	1804
20	100	20	1356	3016
20	100	50	3157	7096
20	100	100	5718	12976
20	100	200	10028	23332
20	100	500	21890	52492
20	100	1000	38301	91900
20	1000	2	318	616
20	1000	5	570	1168
20	1000	10	1010	2104
20	1000	20	1710	3664
20	1000	50	4155	9064
20	1000	100	7448	16384
20	1000	200	13648	30220
20	1000	500	31263	70276
20	1000	1000	56111	127756
20	10000	2	348	676
20	10000	5	740	1480
20	10000	10	1277	2560
20	10000	20	2255	4648
20	10000	50	5454	11344
20	10000	100	9544	20140
20	10000	200	17899	38464
20	10000	500	40660	89020
20	10000	1000	74638	164296
21	10	2	223	472
21	10	5	378	832
21	10	10	569	1264
21	10	20	1092	2536
21	10	50	2163	5164
21	10	100	3776	9040
21	10	200	6811	16324
21	10	500	13836	33184
21	10	1000	22616	54256
21	100	2	235	484
21	100	5	471	1012
21	100	10	806	1756
21	100	20	1378	3040
21	100	50	3365	7528
21	100	100	5648	12808
21	100	200	10184	23680
21	100	500	21458	51412
21	100	1000	38111	91444
21	1000	2	269	532
21	1000	5	548	1120
21	1000	10	1063	2236
21	1000	20	1808	3868
21	1000	50	4035	8812
21	1000	100	7427	16288
21	1000	200	13441	29764
21	1000	500	31182	70132
21	1000	1000	56585	129028
21	10000	2	366	712
21	10000	5	744	1516
21	10000	10	1149	2332
21	10000	20	2225	4552
21	10000	50	5102	10540
21	10000	100	9838	20764
21	10000	200	17606	37840
21	10000	500	39938	87376
21	10000	1000	75149	165376
22	10	2	173	364
22	10	5	367	808
22	10	10	629	1408
22	10	20	1067	2464
22	10	50	2102	5020
22	10	100	3791	9076
22	10	200	6751	16180
22	10	500	13731	32932
22	10	1000	22551	54100
22	100	2	248	532
22	100	5	495	1060
22	100	10	825	1792
22	100	20	1429	3184
22	100	50	3201	7180
22	100	100	5486	12496
22	100	200	10026	23296
22	100	500	21476	51472
22	100	1000	38461	92284
22	1000	2	268	532
22	1000	5	644	1336
22	1000	10	1067	2224
22	1000	20	1877	4012
22	1000	50	4139	9052
22	1000	100	7425	16360
22	1000	200	13751	30508
22	1000	500	31544	70828
22	1000	1000	56598	128884
22	10000	2	409	796
22	10000	5	754	1492
22	10000	10	1234	2476
22	10000	20	2250	4612
22	10000	50	5204	10744
22	10000	100	9576	20128
22	10000	200	17857	38404
22	10000	500	39544	86584
22	10000	1000	74873	164860
23	10	2	203	436
23	10	5	361	796
23	10	10	612	1360
23	10	20	1027	2380
23	10	50	2162	5164
23	10	100	3901	9340
23	10	200	6816	16336
23	10	500	13771	33028
23	10	1000	22801	54700
23	100	2	224	460
23	100	5	432	928
23	100	10	758	1660
23	100	20	1444	3184
23	100	50	3085	6916
23	100	100	5755	13096
23	100	200	10244	23872
23	100	500	21353	51172
23	100	1000	38851	93220
23	1000	2	285	556
23	1000	5	611	1252
23	1000	10	962	2008
23	1000	20	1921	4120
23	1000	50	4176	9100
23	1000	100	7599	16720
23	1000	200	13736	30412
23	1000	500	31348	70384
23	1000	1000	56827	129388
23	10000	2	330	628
23	10000	5	803	1588
23	10000	10	1307	2644
23	10000	20	2293	4720
23	10000	50	5222	10852
23	10000	100	9619	20236
23	10000	200	17757	38116
23	10000	500	39875	87292
23	10000	1000	74873	164812
24	10	2	177	364
24	10	5	370	808
24	10	10	601	1348
24	10	20	1076	2488
24	10	50	2184	5212
