pass	compression	q	error	size
9	500	0.001	-0.000000667	43180
9	500	0.010	-0.000016346	43180
9	500	0.100	0.000004420	43180
9	500	0.500	0.000448255	43180
9	1000	0.001	-0.000000667	91216
9	1000	0.010	-0.000002104	91216
9	1000	0.100	-0.000019328	91216
9	1000	0.500	0.000019634	91216
10	2	0.001	0.000121021	328
10	2	0.010	0.005881100	328
10	2	0.100	0.031902131	328
10	2	0.500	-0.005443293	328
10	5	0.001	0.000012334	784
10	5	0.010	-0.000520186	784
10	5	0.100	-0.006393266	784
10	5	0.500	-0.004658721	784
10	10	0.001	-0.000093739	1288
10	10	0.010	0.001746656	1288
10	10	0.100	0.000804993	1288
10	10	0.500	-0.002342215	1288
10	20	0.001	-0.000017139	2368
10	20	0.010	-0.000106458	2368
10	20	0.100	0.004200427	2368
10	20	0.500	-0.014220848	2368
10	50	0.001	-0.000013063	5368
10	50	0.010	-0.000033515	5368
10	50	0.100	-0.000085609	5368
10	50	0.500	0.003384718	5368
10	100	0.001	-0.000009612	10504
10	100	0.010	-0.000009242	10504
10	100	0.100	-0.000049925	10504
10	100	0.500	0.002451678	10504
10	200	0.001	-0.000014448	18832
10	200	0.010	0.000015368	18832
10	200	0.100	-0.000475552	18832
10	200	0.500	-0.000901587	18832
10	500	0.001	-0.000014448	43012
10	500	0.010	-0.000011004	43012
10	500	0.100	-0.000014821	43012
10	500	0.500	0.000476279	43012
10	1000	0.001	-0.000014448	91408
10	1000	0.010	-0.000008044	91408
10	1000	0.100	-0.000061312	91408
10	1000	0.500	0.000098626	91408
11	2	0.001	-0.000099456	376
11	2	0.010	0.005717653	376
11	2	0.100	-0.003128231	376
11	2	0.500	-0.002734596	376
11	5	0.001	-0.000088947	736
11	5	0.010	0.002498477	736
11	5	0.100	-0.008114381	736
11	5	0.500	-0.025094955	736
11	10	0.001	0.000046640	1240
11	10	0.010	0.000006708	1240
11	10	0.100	0.003320573	1240
11	10	0.500	0.029527120	1240
11	20	0.001	-0.000010141	2248
11	20	0.010	-0.000081249	2248
11	20	0.100	-0.000647669	2248
11	20	0.500	-0.000424377	2248
11	50	0.001	0.000034412	5548
11	50	0.010	0.000097210	5548
11	50	0.100	-0.000404237	5548
11	50	0.500	-0.003506178	5548
11	100	0.001	-0.000040904	10336
11	100	0.010	0.000012213	10336
11	100	0.100	-0.000493989	10336
11	100	0.500	0.000469510	10336
11	200	0.001	0.000003916	19420
11	200	0.010	0.000018460	19420
11	200	0.100	-0.000106204	19420
11	200	0.500	-0.000078307	19420
11	500	0.001	0.000003916	42832
11	500	0.010	-0.000020974	42832
11	500	0.100	0.000161867	42832
11	500	0.500	-0.000240453	42832
11	1000	0.001	0.000003916	91624
11	1000	0.010	0.000000068	91624
11	1000	0.100	-0.000088910	91624
11	1000	0.500	-0.000092245	91624
12	2	0.001	0.000351792	376
12	2	0.010	-0.000540423	376
12	2	0.100	0.017487575	376
12	2	0.500	-0.011933564	376
12	5	0.001	0.000076252	664
12	5	0.010	-0.000282279	664
12	5	0.100	-0.002431909	664
12	5	0.500	0.002296936	664
12	10	0.001	-0.000017520	1360
12	10	0.010	0.000950757	1360
12	10	0.100	-0.001514560	1360
12	10	0.500	-0.003788987	1360
12	20	0.001	0.000037552	2236
12	20	0.010	0.000064359	2236
12	20	0.100	0.004322775	2236
12	20	0.500	0.003266742	2236
12	50	0.001	-0.000001719	5536
12	50	0.010	-0.000022711	5536
12	50	0.100	-0.000441788	5536
12	50	0.500	0.000178070	5536
12	100	0.001	-0.000015351	10324
12	100	0.010	-0.000008810	10324
12	100	0.100	-0.000005371	10324
12	100	0.500	-0.003026857	10324
12	200	0.001	-0.000012482	18940
12	200	0.010	0.000018424	18940
12	200	0.100	-0.000329867	18940
12	200	0.500	-0.000246745	18940
12	500	0.001	-0.000012482	42952
12	500	0.010	-0.000000131	42952
12	500	0.100	0.000136866	42952
12	500	0.500	-0.000413534	42952
12	1000	0.001	-0.000012482	92368
12	1000	0.010	-0.000007132	92368
12	1000	0.100	0.000012317	92368
12	1000	0.500	-0.000099139	92368
13	2	0.001	0.000353973	376
13	2	0.010	-0.000747578	376
13	2	0.100	0.003670406	376
13	2	0.500	-0.013473994	376
13	5	0.001	0.000124878	724
13	5	0.010	-0.000073743	724
13	5	0.100	-0.001566453	724
13	5	0.500	-0.007616438	724
13	10	0.001	0.000146815	1324
13	10	0.010	0.000057654	1324
13	10	0.100	0.007621426	1324
13	10	0.500	0.040767525	1324
13	20	0.001	0.000007095	2428
13	20	0.010	0.000014480	2428
13	20	0.100	0.000736532	2428
13	20	0.500	0.001856138	2428
13	50	0.001	-0.000007585	5404
13	50	0.010	0.000159892	5404
13	50	0.100	0.000914847	5404
13	50	0.500	0.004881802	5404
13	100	0.001	0.000001063	10276
13	100	0.010	-0.000027155	10276
13	100	0.100	0.000130127	10276
13	100	0.500	0.000493382	10276
13	200	0.001	-0.000003985	19312
13	200	0.010	0.000024387	19312
13	200	0.100	-0.000015788	19312
13	200	0.500	0.001293833	19312
13	500	0.001	-0.000003985	43252
13	500	0.010	0.000008516	43252
13	500	0.100	0.000005018	43252
13	500	0.500	-0.000005857	43252
13	1000	0.001	-0.000003985	92452
13	1000	0.010	-0.000007412	92452
13	1000	0.100	-0.000008003	92452
13	1000	0.500	-0.000139933	92452
14	2	0.001	-0.000017113	364
14	2	0.010	-0.000399111	364
14	2	0.100	0.082655250	364
14	2	0.500	0.055095719	364
14	5	0.001	0.000007665	760
14	5	0.010	0.001950601	760
14	5	0.100	-0.001431803	760
14	5	0.500	-0.013526121	760
14	10	0.001	0.000001193	1216
14	10	0.010	0.001206258	1216
14	10	0.100	-0.000697755	1216
14	10	0.500	0.028474092	1216
14	20	0.001	0.000000933	2260
14	20	0.010	-0.000078713	2260
14	20	0.100	-0.003064767	2260
14	20	0.500	0.002592519	2260
14	50	0.001	-0.000001526	5452
14	50	0.010	-0.000147780	5452
14	50	0.100	-0.001221877	5452
14	50	0.500	0.000384126	5452
14	100	0.001	-0.000002626	10108
14	100	0.010	-0.000027079	10108
14	100	0.100	-0.000500022	10108
14	100	0.500	0.002804645	10108
14	200	0.001	0.000000617	19096
14	200	0.010	-0.000036222	19096
14	200	0.100	-0.000116077	19096
14	200	0.500	0.001353137	19096
14	500	0.001	0.000000617	43072
14	500	0.010	-0.000017819	43072
14	500	0.100	0.000062943	43072
14	500	0.500	0.000431889	43072
14	1000	0.001	0.000000617	92668
14	1000	0.010	-0.000018652	92668
14	1000	0.100	0.000002369	92668
14	1000	0.500	-0.000009652	92668
15	2	0.001	-0.000011589	316
15	2	0.010	-0.000677378	316
15	2	0.100	0.104305310	316
15	2	0.500	-0.000231422	316
15	5	0.001	0.000027032	688
15	5	0.010	-0.000858881	688
15	5	0.100	0.026405884	688
15	5	0.500	0.000192846	688
15	10	0.001	0.000005701	1324
15	10	0.010	0.001023837	1324
15	10	0.100	0.008289964	1324
15	10	0.500	-0.027145197	1324
15	20	0.001	-0.000012447	2284
15	20	0.010	-0.000794967	2284
15	20	0.100	0.000239991	2284
15	20	0.500	0.000082884	2284
15	50	0.001	-0.000007340	5452
15	50	0.010	-0.000047080	5452
15	50	0.100	0.000926316	5452
15	50	0.500	-0.000923128	5452
15	100	0.001	0.000000243	10288
15	100	0.010	0.000090540	10288
15	100	0.100	0.000641017	10288
15	100	0.500	0.002114143	10288
15	200	0.001	-0.000010585	19216
15	200	0.010	-0.000029996	19216
15	200	0.100	-0.000093282	19216
15	200	0.500	-0.000301951	19216
15	500	0.001	-0.000010585	43180
15	500	0.010	-0.000042406	43180
15	500	0.100	0.000130729	43180
15	500	0.500	-0.000507237	43180
15	1000	0.001	-0.000010585	91792
15	1000	0.010	-0.000000644	91792
15	1000	0.100	-0.000017771	91792
15	1000	0.500	-0.000016517	91792
16	2	0.001	0.000106638	352
16	2	0.010	-0.001137951	352
16	2	0.100	0.086801539	352
16	2	0.500	0.108672268	352
16	5	0.001	-0.000007792	724
16	5	0.010	-0.000930156	724
16	5	0.100	0.020688783	724
16	5	0.500	-0.004656406	724
16	10	0.001	0.000048936	1372
16	10	0.010	0.000493378	1372
16	10	0.100	0.007926722	1372
16	10	0.500	-0.001599420	1372
16	20	0.001	-0.000013841	2152
16	20	0.010	-0.000222636	2152
16	20	0.100	-0.000888113	2152
16	20	0.500	0.000012254	2152
16	50	0.001	-0.000001633	5620
16	50	0.010	0.000120382	5620
16	50	0.100	-0.000245870	5620
16	50	0.500	0.000226648	5620
16	100	0.001	0.000000531	10312
16	100	0.010	-0.000109133	10312
16	100	0.100	0.001709976	10312
16	100	0.500	0.000036831	10312
16	200	0.001	-0.000004637	19480
16	200	0.010	-0.000004173	19480
16	200	0.100	-0.000088015	19480
16	200	0.500	0.000030932	19480
16	500	0.001	-0.000004637	43204
16	500	0.010	-0.000014946	43204
16	500	0.100	0.000010564	43204
16	500	0.500	0.000354280	43204
16	1000	0.001	-0.000004637	91876
16	1000	0.010	-0.000015511	91876
16	1000	0.100	-0.000081935	91876
16	1000	0.500	0.000073613	91876
17	2	0.001	-0.000010650	388
17	2	0.010	0.006857294	388
17	2	0.100	-0.001816552	388
17	2	0.500	0.035654684	388
17	5	0.001	0.000258835	784
17	5	0.010	-0.000981215	784
17	5	0.100	0.008668017	784
17	5	0.500	-0.011386707	784
17	10	0.001	0.000008324	1192
17	10	0.010	0.000442874	1192
17	10	0.100	0.000397557	1192
17	10	0.500	0.013905404	1192
17	20	0.001	0.000010106	2224
17	20	0.010	-0.000071362	2224
17	20	0.100	0.000806401	2224
17	20	0.500	0.005025559	2224
17	50	0.001	-0.000001506	5308
17	50	0.010	-0.000073338	5308
17	50	0.100	-0.000772180	5308
17	50	0.500	-0.000167694	5308
17	100	0.001	-0.000018041	10132
17	100	0.010	-0.000145229	10132
17	100	0.100	-0.001010756	10132
17	100	0.500	-0.000673532	10132
17	200	0.001	-0.000003570	19168
17	200	0.010	0.000009651	19168
17	200	0.100	0.000221163	19168
17	200	0.500	-0.000046813	19168
17	500	0.001	-0.000003570	43036
17	500	0.010	0.000031665	43036
17	500	0.100	0.000003170	43036
17	500	0.500	-0.000028080	43036
17	1000	0.001	-0.000003570	92392
17	1000	0.010	0.000012236	92392
17	1000	0.100	0.000043075	92392
17	1000	0.500	-0.000178346	92392
18	2	0.001	0.000226168	364
18	2	0.010	0.002205559	364
18	2	0.100	-0.003771467	364
18	2	0.500	-0.072975207	364
18	5	0.001	-0.000004730	712
18	5	0.010	-0.000592164	712
18	5	0.100	0.036357064	712
18	5	0.500	-0.004514929	712
18	10	0.001	-0.000026297	1372
18	10	0.010	0.001201395	1372
18	10	0.100	-0.001465305	1372
18	10	0.500	0.000390643	1372
18	20	0.001	-0.000001196	2332
18	20	0.010	0.000461461	2332
18	20	0.100	0.002214611	2332
18	20	0.500	-0.006962968	2332
18	50	0.001	-0.000014476	5104
18	50	0.010	0.000021664	5104
18	50	0.100	0.002064408	5104
18	50	0.500	-0.000054021	5104
18	100	0.001	-0.000012343	10396
18	100	0.010	-0.000024018	10396
18	100	0.100	0.000516374	10396
18	100	0.500	-0.000177926	10396
18	200	0.001	0.000001856	19180
18	200	0.010	-0.000043789	19180
18	200	0.100	0.000083516	19180
18	200	0.500	0.000133496	19180
18	500	0.001	0.000001856	43108
18	500	0.010	-0.000022684	43108
18	500	0.100	0.000025516	43108
18	500	0.500	0.000544834	43108
18	1000	0.001	0.000001856	92800
18	1000	0.010	-0.000002117	92800
18	1000	0.100	-0.000013315	92800
18	1000	0.500	0.000065822	92800
19	2	0.001	-0.000052169	328
19	2	0.010	0.007680819	328
19	2	0.100	-0.005723199	328
19	2	0.500	-0.001494021	328
19	5	0.001	-0.000045590	712
19	5	0.010	0.003574905	712
19	5	0.100	-0.003883822	712
19	5	0.500	0.030676977	712
19	10	0.001	-0.000090572	1276
19	10	0.010	0.001332289	1276
19	10	0.100	-0.004043505	1276
19	10	0.500	0.001028231	1276
19	20	0.001	0.000007879	2284
19	20	0.010	0.000758409	2284
19	20	0.100	0.005452318	2284
19	20	0.500	0.011189879	2284
19	50	0.001	-0.000003830	5416
19	50	0.010	-0.000020599	5416
19	50	0.100	-0.000166684	5416
19	50	0.500	0.003957168	5416
19	100	0.001	-0.000003609	10504
19	100	0.010	0.000107714	10504
19	100	0.100	-0.000856675	10504
19	100	0.500	0.000158706	10504
19	200	0.001	0.000000935	18964
19	200	0.010	0.000000665	18964
19	200	0.100	-0.000025825	18964
19	200	0.500	0.000664375	18964
19	500	0.001	0.000000935	42784
19	500	0.010	-0.000006781	42784
19	500	0.100	-0.000016210	42784
19	500	0.500	-0.000222716	42784
19	1000	0.001	0.000000935	91408
19	1000	0.010	-0.000026415	91408
19	1000	0.100	-0.000013579	91408
19	1000	0.500	-0.000004766	91408
20	2	0.001	-0.000075771	340
20	2	0.010	0.005202915	340
20	2	0.100	0.019339810	340
20	2	0.500	-0.001855045	340
20	5	0.001	0.000364859	712
20	5	0.010	0.000161022	712
20	5	0.100	-0.005338439	712
20	5	0.500	-0.005683216	712
20	10	0.001	-0.000092146	1180
20	10	0.010	-0.000043803	1180
20	10	0.100	-0.001748974	1180
20	10	0.500	-0.003971563	1180
20	20	0.001	-0.000055513	2296
20	20	0.010	-0.000738645	2296
20	20	0.100	-0.003917617	2296
20	20	0.500	0.007962433	2296
20	50	0.001	-0.000013483	5248
20	50	0.010	-0.000043498	5248
20	50	0.100	0.000245097	5248
20	50	0.500	-0.000030914	5248
20	100	0.001	0.000004726	10300
20	100	0.010	-0.000015817	10300
20	100	0.100	0.000194231	10300
20	100	0.500	0.000010647	10300
20	200	0.001	0.000008572	19240
20	200	0.010	0.000002525	19240
20	200	0.100	0.000086021	19240
20	200	0.500	-0.001335876	19240
20	500	0.001	0.000008572	42532
20	500	0.010	-0.000035832	42532
20	500	0.100	-0.000021035	42532
20	500	0.500	-0.000089169	42532
20	1000	0.001	0.000008572	91576
20	1000	0.010	-0.000020600	91576
20	1000	0.100	-0.000082216	91576
20	1000	0.500	-0.000002828	91576
21	2	0.001	-0.000061808	400
21	2	0.010	-0.001127589	400
21	2	0.100	0.012229974	400
